vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract
1G1FY6EV0V,Snohomish,Everett,WA,98208,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,291100617,"{'type': 'Point', 'coordinates': [-122.22478, 47.91564]}",PUGET SOUND ENERGY INC,53061052114
7PD2EAAB4V,Kitsap,Bainbridge Island,WA,98110,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,294981144,"{'type': 'Point', 'coordinates': [-122.521, 47.62759]}",PUGET SOUND ENERGY INC,53035091002
7PD2EAAB9V,King,Burien,WA,98146,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,34,297246862,"{'type': 'Point', 'coordinates': [-122.36322, 47.49736]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
7PD2EAAB9V,Snohomish,Bothell,WA,98012,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,296688451,"{'type': 'Point', 'coordinates': [-122.20105, 47.84423]}",PUGET SOUND ENERGY INC,53061051933
1G1FY6EV4V,Pierce,Tacoma,WA,98407,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,27,293164070,"{'type': 'Point', 'coordinates': [-122.54304, 47.31803]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060903
WBY63HG03V,King,Bothell,WA,98011,2027,BMW,I5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,294693325,"{'type': 'Point', 'coordinates': [-122.20563, 47.76144]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
1G1FZ6EV7V,Thurston,Olympia,WA,98501,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,290244482,"{'type': 'Point', 'coordinates': [-122.89165, 47.03954]}",PUGET SOUND ENERGY INC,53067011300
1G1FZ6EV3V,Whatcom,Bellingham,WA,98226,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,42,291061676,"{'type': 'Point', 'coordinates': [-122.49756, 48.7999]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000102
1G1FY6EV7V,Clallam,Port Angeles,WA,98363,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,24,294267753,"{'type': 'Point', 'coordinates': [-123.46101, 48.11892]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009000600
1G1FY6EV7V,Pierce,Tacoma,WA,98409,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,29,293942358,"{'type': 'Point', 'coordinates': [-122.47145, 47.20873]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062802
1G1FY6EV9V,King,Bellevue,WA,98006,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41,295524288,"{'type': 'Point', 'coordinates': [-122.12096, 47.55584]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
1G1FY6EV8V,Pierce,Dupont,WA,98327,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,28,292807259,"{'type': 'Point', 'coordinates': [-122.62954, 47.09583]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072802
7PD2EAAB9V,Snohomish,Bothell,WA,98012,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,297207270,"{'type': 'Point', 'coordinates': [-122.20105, 47.84423]}",PUGET SOUND ENERGY INC,53061051933
1G1FZ6EV9V,Clark,Vancouver,WA,98685,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,18,290879970,"{'type': 'Point', 'coordinates': [-122.70334, 45.70429]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040904
1G1FY6EV7V,Island,Freeland,WA,98249,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,10,294851504,"{'type': 'Point', 'coordinates': [-122.52664, 48.00956]}",PUGET SOUND ENERGY INC,53029971900
1G1FY6EVXV,Snohomish,Edmonds,WA,98020,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,32,293095057,"{'type': 'Point', 'coordinates': [-122.37695, 47.81113]}",PUGET SOUND ENERGY INC,53061050800
1G1FY6EV5V,Snohomish,Sultan,WA,98294,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,39,294142313,"{'type': 'Point', 'coordinates': [-121.81688, 47.8623]}",PUGET SOUND ENERGY INC,53061053802
1G1FZ6EV5V,Thurston,Lacey,WA,98513,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,291344266,"{'type': 'Point', 'coordinates': [-122.80933, 46.99531]}",PUGET SOUND ENERGY INC,53067011623
1G1FZ6EV1V,Lewis,Chehalis,WA,98532,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,19,293115483,"{'type': 'Point', 'coordinates': [-122.96462, 46.6621]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,53041971400
1G1FY6EV6V,Snohomish,Woodway,WA,98020,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,32,294354525,"{'type': 'Point', 'coordinates': [-122.37695, 47.81113]}",PUGET SOUND ENERGY INC,53061050600
1G1FY6EV9V,Snohomish,Everett,WA,98203,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,38,292742537,"{'type': 'Point', 'coordinates': [-122.21702, 47.9341]}",PUGET SOUND ENERGY INC,53061041303
